date,id,code,mxn,usd,eur,rub,gel,gbp,jpy,aud,aed
2024-05-12,3,eur,18.08494101,1.07781493,1.0,99.28487893,2.88369374,0.86067622,167.8831331,1.63088495,3.95827532
2024-05-12,4,gel,6.27144996,0.37376193,0.34677746,34.42975841,1.0,0.29846312,58.21808695,0.56555415,1.37264067
2024-05-12,5,rub,0.18215202,0.010855781,0.010072027,1.0,0.029044642,0.008668754,1.69092348,0.016426318,0.039867857
2024-05-13,1,mxn,1.0,0.059599679,0.055340608,5.42182086,0.15913449,0.047597543,9.28444143,0.090404209,0.21887982
2024-05-13,2,usd,16.77861379,1.0,0.92853869,90.97063817,2.67005621,0.7986208,155.7800571,1.5168573,3.6725
2024-05-13,3,eur,18.06991348,1.07696105,1.0,97.97183377,2.87554653,0.86008349,167.7690534,1.63359623,3.95513945
2024-05-13,4,gel,6.28399272,0.37452395,0.34775998,34.07068279,1.0,0.29910262,58.34336238,0.56809939,1.37543921
2024-05-13,5,rub,0.18443988,0.010992558,0.010207015,1.0,0.029350747,0.008778885,1.71242128,0.016674142,0.040370169
2024-05-14,1,mxn,1.0,0.059503074,0.055156733,5.42028091,0.15929462,0.047384574,9.3085378,0.090104958,0.21852504
2024-05-14,2,usd,16.80585438,1.0,0.92695602,91.09245163,2.67708215,0.79633825,156.4379308,1.51429081,3.6725
2024-05-14,3,eur,18.13015297,1.07879984,1.0,98.27052196,2.88803579,0.85908957,168.7652142,1.63361668,3.9618924
2024-05-14,4,gel,6.277676,0.37354102,0.3462561,34.02676734,1.0,0.297465,58.43598432,0.56564973,1.3718294
2024-05-14,5,rub,0.18449228,0.010977858,0.010175992,1.0,0.029388628,0.008742088,1.71735339,0.01662367,0.040316184
2024-05-15,1,mxn,1.0,0.059352955,0.054864946,5.40672537,0.16000323,0.047142277,9.28074412,0.089540287,0.21797373
2024-05-15,2,usd,16.84836071,1.0,0.92438439,91.09445933,2.69579211,0.79427008,156.3653246,1.50860705,3.6725
2024-05-15,3,eur,18.22657419,1.08180104,1.0,98.54608115,2.91631071,0.85924221,169.1561713,1.63201268,3.97291433
